month,FFMC,DMC,DC,ISI,temp,RH,wind,rain,fire
8,87.5,77,694.8,2.236067977,22.3,46,4,,0
8,94.2,117.2,581.1,3.31662479,23.9,41,2.2,,1
8,94.2,117.2,581.1,3.31662479,21.4,44,2.7,,0
8,91.8,170.9,692.3,3.701351105,20.6,59,0.9,,0
8,91.8,170.9,692.3,3.701351105,23.7,40,1.8,,0
8,93.6,97.9,542,3.794733192,28.3,32,4,,1
8,91.6,112.4,573,2.983286778,11.2,84,7.6,,1
8,91.6,112.4,573,2.983286778,21.4,42,3.1,,1
8,91.1,141.1,629.1,2.664582519,19.3,39,3.6,,0
8,94.3,167.6,684.4,3.605551275,21.8,53,3.1,,1
8,93.7,102.2,550.3,3.820994635,22.1,54,7.6,,0
8,94.3,131.7,607.1,4.7644517,19.4,55,4,,0
8,92.1,152.6,658.2,3.78153408,23.7,24,3.1,,0
8,92.1,152.6,658.2,3.78153408,21,32,3.1,,0
8,92.1,152.6,658.2,3.78153408,19.1,53,2.7,,1
8,92.1,152.6,658.2,3.78153408,21.8,56,3.1,,0
8,92.1,152.6,658.2,3.78153408,20.1,58,4.5,,1
8,92.1,152.6,658.2,3.78153408,20.2,47,4,,1
12,84.4,27.2,353.5,2.607680962,4.8,57,8.5,,1
12,84,27.8,354.6,2.302172887,5.1,61,8,,1
12,84.6,26.4,352,1.414213562,5.1,61,4.9,,1
12,85.4,25.4,349.7,1.61245155,4.6,21,8.5,,1
12,85.4,25.4,349.7,1.61245155,4.6,21,8.5,,1
12,85.4,25.4,349.7,1.61245155,4.6,21,8.5,,1
12,85.4,25.4,349.7,1.61245155,4.6,21,8.5,,1
12,84.7,26.7,352.6,2.024845673,2.2,59,4.9,,1
12,85.4,25.4,349.7,1.61245155,5.1,24,8.5,,1
2,84.9,27.5,353.5,1.843908891,4.2,51,4,,0
2,86.9,6.6,18.7,1.788854382,8.8,35,3.1,,0
2,85.2,4.9,15.8,2.50998008,7.5,46,8,,1
7,93.9,169.7,411.8,3.507135583,23.4,40,6.3,,0
7,91.2,183.1,437.7,3.535533906,12.6,90,7.6,-1.609437912,0
7,91.6,104.2,474.9,3,22.1,49,2.7,,0
7,91.6,104.2,474.9,3,24.2,32,1.8,,0
7,91.6,104.2,474.9,3,24.3,30,1.8,,0
7,91.6,104.2,474.9,3,18.7,53,1.8,,0
7,91.6,104.2,474.9,3,25.3,39,0.9,,1
7,91.6,100.2,466.3,2.50998008,22.9,40,1.3,,0
7,93.1,180.4,430.8,3.31662479,26.9,28,5.4,,1
7,92.3,88.8,440.9,2.915475947,17.1,67,3.6,,1
6,93.1,180.4,430.8,3.31662479,22.2,48,1.3,,0
6,90.4,89.5,290.8,2.529822128,14.3,46,1.8,,0
6,90.4,89.5,290.8,2.529822128,15.4,45,2.2,,0
6,91.2,147.8,377.2,3.563705936,19.6,43,4.9,,0
6,53.4,71,233.8,0.632455532,10.6,90,2.7,,0
6,90.4,93.3,298.1,2.738612788,20.7,25,4.9,,0
6,90.4,93.3,298.1,2.738612788,19.1,39,5.4,,1
6,91.1,94.1,232.1,2.664582519,19.2,38,4.5,,0
6,91.1,94.1,232.1,2.664582519,19.2,38,4.5,,0
5,85.1,28,113.8,1.870828693,11.3,94,4.9,,0
9,89.6,84.1,714.3,2.387467277,19,52,2.2,,0
9,89.6,84.1,714.3,2.387467277,17.1,53,5.4,,0
9,89.6,84.1,714.3,2.387467277,23.8,35,3.6,,1
9,92.4,105.8,758.1,3.146426545,16,45,1.8,,0
9,92.4,105.8,758.1,3.146426545,24.9,27,2.2,,0
9,92.4,105.8,758.1,3.146426545,25.3,27,2.7,,0
9,92.4,105.8,758.1,3.146426545,24.8,28,1.8,,1
9,50.4,46.2,706.6,0.632455532,12.2,78,6.3,,0
9,92.6,115.4,777.1,2.966479395,24.3,27,4.9,,0
9,92.6,115.4,777.1,2.966479395,19.7,41,1.8,,0
9,91.2,134.7,817.5,2.683281573,18.5,30,2.7,,0
9,92.4,96.2,739.4,2.93257566,18.6,24,5.8,,0
9,92.4,96.2,739.4,2.93257566,19.2,24,4.9,,1
9,92.8,119,783.5,2.738612788,21.6,27,2.2,,0
9,92.8,119,783.5,2.738612788,21.6,28,6.3,,1
9,92.8,119,783.5,2.738612788,18.9,34,7.2,,1
9,92.8,119,783.5,2.738612788,16.8,28,4,,1
9,92.8,119,783.5,2.738612788,16.8,28,4,,0
9,90.7,136.9,822.8,2.607680962,12.9,39,2.7,,0
9,88.1,53.3,726.9,2.323790008,13.7,56,1.8,,1
9,92.2,102.3,751.5,2.898275349,24.2,27,3.1,,0
9,92.2,102.3,751.5,2.898275349,24.1,27,3.1,,0
9,92.2,102.3,751.5,2.898275349,21.2,32,2.2,,0
9,92.2,102.3,751.5,2.898275349,19.7,35,1.8,,0
9,92.2,102.3,751.5,2.898275349,23.5,27,4,,1
9,92.2,102.3,751.5,2.898275349,24.2,27,3.1,,1
9,91.2,124.4,795.3,2.915475947,21.5,28,4.5,,1
9,91.2,124.4,795.3,2.915475947,17.1,41,2.2,,1
9,92.1,87.7,721.1,3.082207001,18.1,54,3.1,,0
9,91.6,108.4,764,2.48997992,18,51,5.4,,0
9,91.6,108.4,764,2.48997992,9.8,86,1.8,,0
9,91.6,108.4,764,2.48997992,19.3,44,2.2,,0
9,91.6,108.4,764,2.48997992,23,34,2.2,,1
9,91.6,108.4,764,2.48997992,22.7,35,2.2,,1
9,91.6,108.4,764,2.48997992,20.4,41,1.8,,0
9,91.6,108.4,764,2.48997992,19.3,44,2.2,,1
9,91.9,111.7,770.3,2.549509757,15.7,51,2.2,,0
9,91.5,130.1,807.1,2.738612788,20.6,37,1.8,,0
9,91.5,130.1,807.1,2.738612788,15.9,51,4.5,,0
9,91.5,130.1,807.1,2.738612788,12.2,66,4.9,,1
9,91.5,130.1,807.1,2.738612788,16.8,43,3.1,,1
9,91.5,130.1,807.1,2.738612788,21.3,35,2.2,,1
9,92.1,99,745.3,3.098386677,10.1,75,3.6,,0
9,92.1,99,745.3,3.098386677,17.4,57,4.5,,0
9,92.1,99,745.3,3.098386677,12.8,64,3.6,,0
9,92.1,99,745.3,3.098386677,10.1,75,3.6,,1
9,92.1,99,745.3,3.098386677,15.4,53,6.3,,1
9,92.1,99,745.3,3.098386677,20.6,43,3.6,,0
9,92.1,99,745.3,3.098386677,19.8,47,2.7,,0
9,92.1,99,745.3,3.098386677,18.7,50,2.2,,1
9,92.1,99,745.3,3.098386677,20.8,35,4.9,,1
9,92.1,99,745.3,3.098386677,20.8,35,4.9,,0
9,92.5,122,789.7,3.193743885,15.9,55,3.6,,0
9,92.5,122,789.7,3.193743885,19.7,39,2.7,,0
9,92.5,122,789.7,3.193743885,21.1,39,2.2,,1
9,92.5,122,789.7,3.193743885,18.4,42,2.2,,0
9,92.5,122,789.7,3.193743885,17.3,45,4,,1
9,88.2,55.2,732.3,3.405877273,15.2,64,3.1,,0
9,91.9,111.7,770.3,2.549509757,15.9,53,2.2,,0
9,91.9,111.7,770.3,2.549509757,21.1,35,2.7,,1
9,91.9,111.7,770.3,2.549509757,19.6,45,3.1,,1
9,91.1,132.3,812.1,3.535533906,15.9,38,5.4,,0
9,91.1,132.3,812.1,3.535533906,16.4,27,3.6,,0
9,91.2,94.3,744.4,2.898275349,16.8,47,4.9,,1
9,91,276.3,825.1,2.664582519,13.8,77,7.6,,0
9,91,276.3,825.1,2.664582519,13.8,77,7.6,,1
7,91.9,133.6,520.5,2.828427125,14.2,58,4,,0
8,92,203.2,664.5,2.846049894,10.4,75,0.9,,0
8,94.8,222.4,698.6,3.728270376,20.3,42,2.7,,0
9,90.3,290,855.3,2.720294102,10.3,78,4,,1
9,91.2,94.3,744.4,2.898275349,15.4,57,4.9,,1
8,92.1,207,672.6,2.863564213,21.1,54,2.2,,0
8,93.7,231.1,715.1,2.898275349,21.9,42,2.2,,1
3,90.9,18.9,30.6,2.828427125,8.7,51,5.8,,0
1,18.7,1.1,171.4,0,5.2,100,0.9,,0
7,93.7,101.3,458.8,3.449637662,19.3,39,7.2,,1
8,90.7,194.1,643,2.607680962,16.2,63,2.7,,1
8,95.2,217.7,690,4.242640687,28.2,29,1.8,,1
8,91.6,248.4,753.8,2.50998008,20.5,58,2.7,,1
8,91.6,273.8,819.1,2.774887385,21.3,44,4.5,,1
8,91.6,181.3,613,2.75680975,20.9,50,2.2,,1
9,90.5,96.7,750.5,3.376388603,20.6,55,5.4,,1
3,90.9,18.9,30.6,2.828427125,11.6,48,5.4,,0
8,94.8,227,706.7,3.464101615,23.3,34,3.1,,1
8,94.8,227,706.7,3.464101615,23.3,34,3.1,,0
2,84.7,9.5,58.3,2.024845673,7.5,71,6.3,,1
9,91.1,91.3,738.1,2.683281573,20.7,46,2.7,,1
9,91,276.3,825.1,2.664582519,21.9,43,4,,1
3,93.4,15,25.6,3.376388603,15.2,19,7.6,,0
2,84.1,4.6,46.7,1.483239697,5.3,68,1.8,,0
2,85,9,56.9,1.870828693,10.1,62,1.8,,1
9,90.5,96.7,750.5,3.376388603,20.4,55,4.9,,1
8,91.6,181.3,613,2.75680975,24.3,33,3.6,,1
8,93.7,231.1,715.1,2.898275349,25.9,32,3.1,,0
6,93.3,49.5,297.7,3.741657387,28,34,4.5,,0
6,93.3,49.5,297.7,3.741657387,28,34,4.5,,1
9,91.1,88.2,731.7,2.880972058,22.8,46,4,,1
8,94.8,227,706.7,3.464101615,25,36,4,,0
8,90.7,194.1,643,2.607680962,21.3,41,3.6,,0
9,87.9,84.8,725.1,1.923538406,21.8,34,2.2,,1
8,94.6,212.1,680.9,3.082207001,27.9,27,2.2,,0
9,87.1,291.3,860.6,2,17,67,4.9,,1
2,84.7,8.2,55,1.702938637,14.2,46,4,,0
9,90.3,290,855.3,2.720294102,19.9,44,3.1,,1
7,92.3,96.2,450.2,3.478505426,23.4,31,5.4,,0
2,84.1,7.3,52.8,1.643167673,14.7,42,2.7,,0
2,84.6,3.2,43.6,1.816590212,8.2,53,9.4,,1
7,92.3,92.1,442.1,3.130495168,22.8,27,4.5,,0
8,93.7,231.1,715.1,2.898275349,26.4,33,3.6,,0
8,93.6,235.1,723.1,3.178049716,24.1,50,4,,0
8,94.8,222.4,698.6,3.728270376,27.5,27,4.9,,1
7,92.7,164.1,575.8,2.983286778,26.3,39,3.1,,1
3,93.4,17.3,28.3,3.146426545,13.8,24,5.8,,0
8,92,203.2,664.5,2.846049894,24.9,42,5.4,,0
8,91.6,181.3,613,2.75680975,24.8,36,4,,1
8,91.7,191.4,635.9,2.792848009,26.2,36,4.5,,1
8,95.2,217.7,690,4.242640687,30.8,19,4.5,,0
7,88.9,263.1,795.9,2.28035085,29.3,27,3.6,,1
9,91.2,94.3,744.4,2.898275349,22.3,48,4,,0
8,93.7,231.1,715.1,2.898275349,26.9,31,3.6,,1
8,91.6,248.4,753.8,2.50998008,20.4,56,2.2,,0
8,91.6,248.4,753.8,2.50998008,20.4,56,2.2,,0
8,92.1,207,672.6,2.863564213,27.9,33,2.2,,0
8,94.8,222.4,698.6,3.728270376,26.2,34,5.8,,0
8,91.6,181.3,613,2.75680975,24.6,44,4,,1
9,89.7,287.2,849.3,2.607680962,19.4,45,3.6,,0
8,92.1,178,605.3,3.098386677,23.3,40,4,,1
8,94.8,222.4,698.6,3.728270376,23.9,38,6.7,,0
8,93.6,235.1,723.1,3.178049716,20.9,66,4.9,,1
8,90.6,269.8,811.2,2.34520788,22.2,45,3.6,,0
7,90.8,84.7,376.6,2.366431913,23.8,51,1.8,,0
8,92.1,207,672.6,2.863564213,26.8,35,1.3,,0
8,89.4,253.6,768.4,3.1144823,14.2,73,2.7,,0
8,93.7,231.1,715.1,2.898275349,23.6,53,4,,1
9,91.1,91.3,738.1,2.683281573,19.1,46,2.2,,0
9,90.3,290,855.3,2.720294102,16.2,58,3.6,,0
8,92.1,207,672.6,2.863564213,25.5,29,1.8,,0
4,87.9,24.9,41.6,1.923538406,10.9,64,3.1,,1
7,90.7,80.9,368.3,4.098780306,14.8,78,8,,0
9,90.3,290,855.3,2.720294102,16.2,58,3.6,,1
8,94,47.9,100.7,3.271085447,17.3,80,4.5,,0
8,92,203.2,664.5,2.846049894,19.1,70,2.2,,0
3,93.4,17.3,28.3,3.146426545,8.9,35,8,,0
9,89.7,284.9,844,3.178049716,10.5,77,4,,0
8,91.6,181.3,613,2.75680975,19.3,61,4.9,,0
8,95.2,217.7,690,4.242640687,23.4,49,5.4,,1
8,90.5,196.8,649.9,4.037325848,11.8,88,4.9,,1
8,91.5,238.2,730.6,2.738612788,17.7,65,4,,0
8,89.4,266.2,803.3,2.366431913,17.4,54,3.1,,0
8,91.6,248.4,753.8,2.50998008,16.8,56,3.1,,0
7,94.6,160,567.2,4.086563348,17.9,48,2.7,,0
8,91.6,248.4,753.8,2.50998008,16.6,59,2.7,,0
8,91.7,191.4,635.9,2.792848009,19.9,50,4,,1
8,93.7,231.1,715.1,2.898275349,18.9,64,4.9,,1
8,91.6,273.8,819.1,2.774887385,15.5,72,8,,0
8,93.7,231.1,715.1,2.898275349,18.9,64,4.9,,0
8,93.7,231.1,715.1,2.898275349,18.9,64,4.9,,0
9,91,276.3,825.1,2.664582519,14.5,76,7.6,,1
2,75.1,4.4,16.2,1.378404875,4.6,82,6.3,,1
2,75.1,4.4,16.2,1.378404875,5.1,77,5.4,,0
2,79.5,3.6,15.3,1.341640786,4.6,59,0.9,,1
3,87.2,15.1,36.9,2.664582519,10.2,45,5.8,,1
3,90.2,18.5,41.1,2.701851217,11.2,41,5.4,,1
3,91.3,20.6,43.5,2.915475947,13.3,27,3.6,,1
4,91,14.6,25.6,3.507135583,13.7,33,9.4,,1
4,91,14.6,25.6,3.507135583,17.6,27,5.8,,0
5,89.6,25.4,73.7,2.387467277,18,40,4,,1
6,88.2,96.2,229,2.167948339,14.3,79,4,,0
6,90.5,61.1,252.6,3.065941943,24.5,50,3.1,,1
6,93,103.8,316.7,3.286335345,26.4,35,2.7,,1
6,93.7,121.7,350.2,4.242640687,22.7,40,9.4,,1
7,93.5,85.3,395,3.146426545,27.2,28,1.3,,0
7,93.7,101.3,423.4,3.834057903,26.1,45,4,,1
7,93.7,101.3,423.4,3.834057903,18.2,82,4.5,,0
7,89.2,103.9,431.6,2.529822128,22.6,57,4.9,,1
7,93.2,114.4,560,3.082207001,30.2,25,4.5,,0
7,93.2,114.4,560,3.082207001,30.2,22,4.9,,0
8,94.9,130.3,587.1,3.754996671,23.4,40,5.8,,0
8,94.9,130.3,587.1,3.754996671,31,27,5.4,,0
8,94.9,130.3,587.1,3.754996671,33.1,25,4,,1
8,95,135.5,596.3,4.615192304,30.6,28,3.6,,0
8,95.1,141.3,605.8,4.207136794,24.1,43,6.3,,0
8,95.1,141.3,605.8,4.207136794,26.4,34,3.6,,1
8,95.1,141.3,605.8,4.207136794,19.4,71,7.6,,1
8,95.1,141.3,605.8,4.207136794,20.6,58,1.3,,0
8,95.1,141.3,605.8,4.207136794,28.7,33,4,,0
8,95.8,152,624.1,3.714835124,32.4,21,4.5,,0
8,95.9,158,633.6,3.361547263,32.4,27,2.2,,0
8,95.9,158,633.6,3.361547263,27.5,29,4.5,,1
8,96,164,643,3.741657387,30.8,30,4.9,,1
8,96.2,175.5,661.8,4.098780306,23.9,42,2.2,,0
8,96.2,175.5,661.8,4.098780306,32.6,26,3.1,,0
8,96.1,181.1,671.2,3.78153408,32.3,27,2.2,,1
8,96.1,181.1,671.2,3.78153408,33.3,26,2.7,,1
8,96.1,181.1,671.2,3.78153408,27.3,63,4.9,1.85629799,1
8,96.1,181.1,671.2,3.78153408,21.6,65,4.9,-0.223143551,0
8,96.1,181.1,671.2,3.78153408,21.6,65,4.9,-0.223143551,0
8,96.1,181.1,671.2,3.78153408,20.7,69,4.9,-0.916290732,0
8,94.5,139.4,689.1,4.472135955,29.2,30,4.9,,0
8,94.5,139.4,689.1,4.472135955,28.9,29,4.9,,1
8,91,163.2,744.4,3.178049716,26.7,35,1.8,,1
8,91,166.9,752.6,2.664582519,18.5,73,8.5,,0
8,91,166.9,752.6,2.664582519,25.9,41,3.6,,0
8,91,166.9,752.6,2.664582519,25.9,41,3.6,,0
8,91,166.9,752.6,2.664582519,21.1,71,7.6,0.336472237,0
8,91,166.9,752.6,2.664582519,18.2,62,5.4,,0
